"","CNTSCHID","ST004D01T","Freq","Mean","s.e.","SD","s.e"
"492","38000255","Male",28,465.31,13.19,69.82,13
"493","38000256","Female",22,404.79,5.34,50.22,5.78
"494","38000256","Male",18,438.18,9.54,69.75,7.82
"495","38000257","Female",35,496.17,11.06,58.35,10.94
"496","38000257","Male",6,499.6,12.91,24.95,12.27
"497","38000258","Female",19,424.01,6.02,65.99,4.89
"498","38000258","Male",12,419.06,6.39,48.99,6.95
"499","38000259","Female",12,527.6,9.11,45.94,7.05
"500","38000259","Male",9,535.72,10.11,41.2,8.49
"501","38000260","Female",6,417.22,33.62,66.33,23.14
"502","38000260","Male",9,389.54,22.37,51.97,18.83
"503","38000261","Female",27,500.44,12.47,69.42,7.7
"504","38000261","Male",9,514.52,17.28,83.83,18.46
"505","38000262","Female",8,339.76,13.37,45.79,9.77
"506","38000262","Male",4,347.72,8.8,80.24,19.09
"507","38000263","Female",21,555.39,5.79,58.53,6.18
"508","38000263","Male",20,568.21,6.34,69.61,5.85
"509","38000264","Female",3,309.47,23.23,41.22,21.02
"510","38000264","Male",2,400.26,19.1,24.58,12.77
"511","38000265","Female",4,445.6,12.08,53.15,12.25
"512","38000265","Male",35,446.01,3.01,76.18,5.22
"513","38000266","Female",23,410.18,4.94,63.56,4.75
"514","38000266","Male",13,425.78,9.33,67.83,5.53
"515","38000267","Female",27,501.86,3.29,70.43,3.2
"516","38000267","Male",12,554.03,5.24,71.71,8.48
"517","38000268","Female",14,417.79,5.87,56.95,6.68
"518","38000268","Male",24,431.96,8.66,65.88,7.23
"519","38000269","Female",31,470.92,4.88,60.1,3.3
"520","38000269","Male",8,478.64,10.52,45.15,8.28
"521","38000270","Female",11,518.11,8.29,73.95,9.43
"522","38000270","Male",10,517.09,11.66,69.7,4.12
"523","38000271","Female",2,572.92,43.25,54.62,19.21
"524","38000271","Male",37,590.75,13.46,65.2,10.63
"525","38000272","Female",27,509.9,5.68,56.53,4.69
"526","38000272","Male",12,526.99,6.71,63.16,8.73
"527","38000273","Female",13,489.04,15.43,52.13,9.98
"528","38000273","Male",25,492.91,15.54,71.08,10.21
"529","38000274","Female",12,492.68,7.81,62.36,7.67
"530","38000274","Male",23,482.01,6.22,83.78,6.19
"531","38000275","Female",14,485.59,7.72,59.87,6.6
"532","38000275","Male",4,537.55,18.27,79.19,12.34
"533","38000276","Female",4,489.63,18.15,37.56,15.07
"534","38000276","Male",26,561.96,7.58,64.51,7.46
"535","38000277","Female",24,504.33,4.69,69.44,4.65
"536","38000277","Male",14,561.36,4.89,75.62,5.84
"537","38000278","Female",18,591.34,7.36,50.23,5.87
"538","38000278","Male",19,599.19,8.29,73.71,8.96
"539","38000279","Female",23,516.25,5.5,60.8,3.84
"540","38000279","Male",16,550.46,6.7,79.76,10.64
"541","38000280","Female",25,421.35,13.16,55.82,11.04
"542","38000280","Male",14,403.96,26.28,77.98,25.44
"543","38000281","Female",13,563.77,6.35,48.07,6.61
"544","38000281","Male",24,581.62,4.9,60.65,5.72
"545","38000282","Female",15,350.27,8.81,55.32,7.67
"546","38000282","Male",5,393.32,11.3,36.8,6.27
"547","38000283","Male",28,420.22,12.06,65.88,9.47
"548","38000284","Female",7,482.13,8.26,79.6,6.93
"549","38000284","Male",16,439.26,7.3,60.65,6.9
"550","38000285","Female",28,402.24,4.81,48.91,4.58
"551","38000285","Male",8,404.26,12.79,41.3,8.25
"552","38000286","Female",2,433.53,51.77,67.76,21.25
"553","38000286","Male",5,491.27,45.33,87.24,24.28
"554","38000287","Female",15,495.51,16.09,64.26,14.42
"555","38000287","Male",23,510.96,11.15,62.77,11.34
"556","38000288","Female",20,401.89,13.89,64.57,12.26
"557","38000288","Male",16,415.28,15.58,50.56,9.23
"558","38000289","Female",24,485.69,7.65,54.4,4.86
"559","38000289","Male",14,542.34,8.15,60.77,7.29
"560","38000290","Female",16,421.24,9.35,63.19,6.92
"561","38000290","Male",12,442.22,5.63,61.68,5.75
"562","38000291","Female",34,508.2,10.79,56.66,9.52
"563","38000291","Male",6,530.93,17.48,42.57,17.93
"564","38000292","Female",33,434.03,3.81,47.53,4.76
"565","38000292","Male",6,456.16,10.49,55.84,15.96
"566","38000293","Female",31,486.93,5.73,58.84,5.98
"567","38000293","Male",5,506.64,13.96,81.26,15.6
"568","38000294","Female",26,516.14,5.47,62.11,6.74
"569","38000294","Male",10,554.03,4.38,73.11,6.55
"570","38000295","Female",3,412.76,23.08,49.07,18.61
"571","38000295","Male",18,379.14,9.41,57.53,4.38
"572","38000296","Female",25,418.35,15.94,60.73,9.61
"573","38000296","Male",5,403.21,33.17,58.95,18.73
"574","38000297","Female",17,483.59,16.19,69.65,13.8
"575","38000297","Male",15,571.21,19.89,65.46,13.83
"576","38000298","Female",27,436.31,3.83,51.22,4.72
"577","38000298","Male",8,444.04,6.51,39.86,9.12
"578","38000299","Female",28,518.28,4.97,59.6,4.17
"579","38000299","Male",11,510.9,7.14,67.86,6.71
"580","38000300","Female",7,517.91,29.49,65.94,20.84
"581","38000300","Male",29,521.45,13.63,68.13,8.56
"582","38000301","Female",15,407.67,8.88,68.53,10.05
"583","38000301","Male",20,421.97,5.75,62.65,5.76
"584","38000302","Female",12,416.46,21.57,59.98,12.6
"585","38000302","Male",19,431.63,15.41,60.99,12.94
"586","38000303","Female",18,490.29,14.73,46.42,7.51
"587","38000303","Male",19,501.31,15.53,70.17,13.18
"588","38000304","Female",15,409.56,13.32,46.35,10.95
"589","38000304","Male",12,431.44,19.89,49.33,10.23
"590","38000305","Female",24,414.75,4.72,71.46,9.22
"591","38000305","Male",12,437.87,6.16,82.13,6.41
"592","38000306","Female",28,528.95,12.41,71.34,11.76
"593","38000306","Male",11,565.96,14.53,47.18,10.39
"594","38000307","Female",29,476.96,4.41,50.92,4.14
"595","38000307","Male",10,496.25,4.71,67.72,8.16
"596","38000308","Female",16,566.22,18.55,66.88,12.17
"597","38000308","Male",24,583.43,16.43,78.72,13.01
"598","38000309","Female",28,367.87,6.23,58.37,6.18
"599","38000309","Male",6,394.09,11.65,33.08,7.25
"600","38000310","Female",1,NA,NA,NA,NA
"601","38000310","Male",34,434.21,4.86,59.7,4.31
"602","38000311","Female",7,472.24,18.15,39.2,15.5
"603","38000311","Male",7,509.71,25.76,74.05,14.37
"604","38000312","Female",25,463.6,4.02,69.03,3.81
"605","38000312","Male",10,465.26,12.3,42.44,6.34
"606","38000313","Female",17,546.66,6.04,47.83,5.49
"607","38000313","Male",22,581,5.84,53.98,4.66
"608","38000314","Female",16,349.69,15.53,71.8,13.61
"609","38000315","Female",5,535.84,29.44,46.89,15.1
"610","38000315","Male",22,510.89,16.64,69.25,11.88
"611","38000316","Female",8,464.1,16.92,35.83,13.54
"612","38000316","Male",4,542.88,34.21,40.34,15.93
"613","38000317","Female",24,482.14,6.19,64.23,7.06
"614","38000317","Male",14,518.32,8.11,56.25,7.95
"615","38000318","Female",24,490.12,12.85,63.62,10.28
"616","38000318","Male",14,540.22,18.61,78.52,12.88
"617","38000319","Female",30,416.39,11.49,53.35,7.01
"618","38000319","Male",7,438.05,20.83,58.49,11.88
"619","38000320","Female",12,433.23,9.08,56.49,7.49
"620","38000320","Male",20,446.43,5.43,69.07,5.59
"621","38000321","Female",22,485.1,2.98,55.36,3.69
"622","38000321","Male",17,518.7,6.58,69.41,8.62
"623","38000322","Female",15,450.63,9.88,62.51,6.42
"624","38000322","Male",22,423.95,6.42,81.79,4.52
"625","38000323","Female",1,NA,NA,NA,NA
"626","38000323","Male",3,462.51,20.46,70.51,12.02
"627","38000324","Female",6,399.59,30.98,55.68,17.3
"628","38000324","Male",27,477.65,14.59,56.97,10.04
"629","38000325","Female",4,566.77,17.07,21.35,12.11
"630","38000325","Male",7,629.68,36.14,83.5,21.98
"631","38000326","Female",15,460.06,19.72,59.75,14.61
"632","38000326","Male",18,461.19,13.05,49.41,9.05
"633","38000327","Female",18,509.74,22.13,86.32,12.64
"634","38000327","Male",21,549.02,17.68,74.89,12.19
"635","38000328","Female",25,492.77,12.72,62.46,11.62
"636","38000328","Male",7,489.18,33.17,76.64,20.24
"637","38000329","Female",26,465.54,5.56,60.83,5.72
"638","38000329","Male",14,486.72,9.08,67.47,6.51
"639","38000330","Female",13,419.2,15.76,63.95,11.63
"640","38000330","Male",21,424.79,15.32,56.98,11.17
"641","38000331","Female",12,500.26,23.07,51.84,11.16
"642","38000331","Male",23,523.07,15.71,61.85,12.48
"643","38000332","Female",21,450.48,12.71,57.95,10.92
"644","38000332","Male",1,NA,NA,NA,NA
"645","38000333","Female",33,392.23,11.05,54.05,7.12
"646","38000334","Female",16,422.7,13.41,46.52,9.39
"647","38000334","Male",19,429.98,15.37,75.03,11.63
"648","38000335","Female",1,NA,NA,NA,NA
"649","38000336","Female",12,560.83,14.21,53.34,13.66
"650","38000336","Male",7,590.53,25.96,53.92,15.7
"651","38000337","Female",22,553.01,12.78,59.69,10.88
"652","38000337","Male",15,504.72,14.22,48.51,10.3
"653","38000338","Female",9,433.03,11.72,52.47,6.82
"654","38000338","Male",25,407.46,6.81,58.86,4.21
"655","38000339","Female",1,NA,NA,NA,NA
"656","38000339","Male",7,431.85,18.52,70.99,16.16
"657","38000340","Female",1,NA,NA,NA,NA
"658","38000341","Female",29,552.05,3.79,66.21,5.21
"659","38000341","Male",12,565.88,6.62,59.59,11.51
"660","38000342","Female",26,431.38,6.6,61.99,8.35
"661","38000342","Male",10,501.71,7.55,42.01,7.1
"662","38000343","Female",21,393.32,5.71,59.16,7.6
"663","38000343","Male",11,391.91,9.62,50.04,6.38
"664","38000344","Female",1,NA,NA,NA,NA
"665","38000344","Male",38,463.64,5.38,62.95,4.81
"666","38000345","Female",31,537.54,12.89,63.5,10.65
"667","38000345","Male",10,547.14,14.63,37.74,11.27
"668","38000346","Female",23,416.52,4.88,46.45,7.35
"669","38000346","Male",13,437.96,5.89,64.54,7.58
"670","38000347","Female",20,504.25,5.77,74.72,6.94
"671","38000347","Male",21,544.16,6.57,63.91,4.86
